Version	Date	Stimuli	Method	Subject	Session	Condition	Trial	Target	TColor	TShape	DColor	DShape	Distractors	Channel1	Channel2	LMouseButton	RMouseButton	RT	TargetX	TargetY	ResponseX	ResponseY	Correct
3.0.1	2019_Mar_07_1326	s	s	11	1	Capacity	85	4_1	4	1	1	1	23_1_1	3	0	1	0	0.604200124741	-12.0	-255.0	0.0	-247.0	1
3.0.1	2019_Mar_07_1326	s	s	11	1	Capacity	86	4_1	4	1	3	1	23_3_1	1	0	1	0	0.975404024124	-421.0	-317.0	-426.0	-311.0	1
3.0.1	2019_Mar_07_1326	s	s	11	1	Capacity	87	3_1	3	1	1	1	23_1_1	2	0	1	0	0.704986095428	-117.0	291.0	-105.0	293.0	1
3.0.1	2019_Mar_07_1326	s	s	11	1	Capacity	88	1_1	1	1	3	1	23_3_1	2	0	1	0	0.681495189667	-488.0	-248.0	-483.0	-243.0	1
3.0.1	2019_Mar_07_1326	s	s	11	1	Capacity	89	ABS	0	0	4	1	24_4_1	NA	NA	0	1	1.14859199524	None	None	None	None	1
3.0.1	2019_Mar_07_1326	s	s	11	1	Capacity	90	ABS	0	0	2	1	24_2_1	NA	NA	0	1	1.22246193886	None	None	None	None	1
3.0.1	2019_Mar_07_1326	s	s	11	1	Capacity	91	ABS	0	0	3	1	24_3_1	NA	NA	0	1	1.46935606003	None	None	None	None	1
3.0.1	2019_Mar_07_1326	s	s	11	1	Capacity	92	3_1	3	1	2	1	23_2_1	1	0	1	0	0.673640966415	-31.0	-351.0	-23.0	-341.0	1
3.0.1	2019_Mar_07_1326	s	s	11	1	Capacity	93	ABS	0	0	4	1	24_4_1	NA	NA	0	1	1.15189790726	None	None	None	None	1
3.0.1	2019_Mar_07_1326	s	s	11	1	Capacity	94	4_1	4	1	2	1	23_2_1	2	0	1	0	0.587280988693	291.0	-26.0	288.0	-20.0	1
3.0.1	2019_Mar_07_1326	s	s	11	1	Capacity	95	ABS	0	0	1	1	24_1_1	NA	NA	0	1	1.08547210693	None	None	None	None	1
3.0.1	2019_Mar_07_1326	s	s	11	1	Capacity	96	2_1	2	1	1	1	23_1_1	-1	0	0	1	0.904986858368	143.0	-408.0	None	None	0
3.0.1	2019_Mar_07_1326	s	s	11	1	Capacity	1	ABS	0	0	1	3	24_1_3	NA	NA	0	1	6.75022006035	None	None	None	None	1
3.0.1	2019_Mar_07_1326	s	s	11	1	Capacity	2	1_4	1	4	1	1	23_1_1	0	3	1	0	0.854239940643	428.0	-112.0	424.0	-111.0	1
3.0.1	2019_Mar_07_1326	s	s	11	1	Capacity	3	ABS	0	0	1	1	24_1_1	NA	NA	0	1	3.63805294037	None	None	None	None	1
3.0.1	2019_Mar_07_1326	s	s	11	1	Capacity	4	ABS	0	0	1	1	24_1_1	NA	NA	0	1	3.57466411591	None	None	None	None	1
3.0.1	2019_Mar_07_1326	s	s	11	1	Capacity	5	1_3	1	3	1	1	23_1_1	0	2	1	0	1.35732007027	-496.0	-136.0	-498.0	-137.0	1
3.0.1	2019_Mar_07_1326	s	s	11	1	Capacity	6	1_4	1	4	1	2	23_1_2	0	2	1	0	1.20186305046	444.0	242.0	445.0	251.0	1
3.0.1	2019_Mar_07_1326	s	s	11	1	Capacity	7	1_1	1	1	1	2	23_1_2	0	1	1	0	5.6654779911	-57.0	-219.0	-54.0	-224.0	1
3.0.1	2019_Mar_07_1326	s	s	11	1	Capacity	8	1_3	1	3	1	4	23_1_4	0	-1	1	0	1.53329014778	313.0	-104.0	320.0	-106.0	1
3.0.1	2019_Mar_07_1326	s	s	11	1	Capacity	9	1_3	1	3	1	2	23_1_2	0	1	1	0	8.79955601692	-174.0	-325.0	-172.0	-323.0	1
3.0.1	2019_Mar_07_1326	s	s	11	1	Capacity	10	1_1	1	1	1	4	23_1_4	0	3	1	0	0.873545885086	92.0	-69.0	86.0	-63.0	1
